,ISU_CD,ISU_SRT_CD,ISU_NM,ISU_ABBRV,ISU_ENG_NM,LIST_DD,LSTTRD_DD,EXP_DD,ELW_ULY_TP_NM,ULY_NM,LIST_SHRS,ISUR_NM,ELW_CONV_RTO,RGHT_TP_NM,ELW_EXER_TP,EXER_PRC,LP_NM,ORD_SPD_RTO,ELW_LST_SETL_METHD
0,KRA581203D28,58J003,KB증권(주) 주식워런트증권 제J003호,KBJ003삼성전자풋,KB SECURITIES ELW J003,2023/02/10,2024/01/11,2024/01/15,주식,삼성전자,"15,800,000",KB증권,0.01,풋,유럽형,"59,000",KB증권,15,현금결제
1,KRA581102D38,58J126,KB증권(주) 주식워런트증권 제J126호,KBJ126삼성전자콜,KB SECURITIES ELW J126,2023/03/24,2024/02/08,2024/02/14,주식,삼성전자,"15,000,000",KB증권,0.01,콜,유럽형,"65,700",KB증권,15,현금결제
2,KRA581103D37,58J127,KB증권(주) 주식워런트증권 제J127호,KBJ127삼성전자콜,KB SECURITIES ELW J127,2023/03/24,2024/03/14,2024/03/18,주식,삼성전자,"13,200,000",KB증권,0.01,콜,유럽형,"64,300",KB증권,15,현금결제
3,KRA581104D36,58J128,KB증권(주) 주식워런트증권 제J128호,KBJ128삼성전자콜,KB SECURITIES ELW J128,2023/03/24,2024/02/08,2024/02/14,주식,삼성전자,"13,200,000",KB증권,0.01,콜,유럽형,"63,000",KB증권,15,현금결제
4,KRA581206D33,58J130,KB증권(주) 주식워런트증권 제J130호,KBJ130삼성전자풋,KB SECURITIES ELW J130,2023/03/24,2024/03/14,2024/03/18,주식,삼성전자,"21,300,000",KB증권,0.01,풋,유럽형,"55,700",KB증권,15,현금결제
5,KRA581215D32,58J139,KB증권(주) 주식워런트증권 제J139호,KBJ139네이버풋,KB SECURITIES ELW J139,2023/03/24,2024/02/08,2024/02/14,주식,NAVER,"23,900,000",KB증권,0.002,풋,유럽형,"185,000",KB증권,15,현금결제
6,KRA581163D34,58J187,KB증권(주) 주식워런트증권 제J187호,KBJ187현대상선콜,KB SECURITIES ELW J187,2023/03/24,2024/02/08,2024/02/14,주식,HMM,"12,000,000",KB증권,0.02,콜,유럽형,"24,900",KB증권,15,현금결제
7,KRA581165D32,58J189,KB증권(주) 주식워런트증권 제J189호,KBJ189모비스콜,KB SECURITIES ELW J189,2023/03/24,2024/03/14,2024/03/18,주식,현대모비스,"15,000,000",KB증권,0.002,콜,유럽형,"240,500",KB증권,15,현금결제
8,KRA581266D30,58J190,KB증권(주) 주식워런트증권 제J190호,KBJ190모비스풋,KB SECURITIES ELW J190,2023/03/24,2024/03/14,2024/03/18,주식,현대모비스,"16,200,000",KB증권,0.002,풋,유럽형,"204,000",KB증권,15,현금결제
9,KRA581101D47,58J295,KB증권(주) 주식워런트증권 제J295호,KBJ295삼성전자콜,KB SECURITIES ELW J295,2023/04/27,2024/01/11,2024/01/15,주식,삼성전자,"19,000,000",KB증권,0.01,콜,유럽형,"69,100",KB증권,15,현금결제
10,KRA581102D46,58J296,KB증권(주) 주식워런트증권 제J296호,KBJ296삼성전자콜,KB SECURITIES ELW J296,2023/04/27,2024/03/14,2024/03/18,주식,삼성전자,"17,300,000",KB증권,0.01,콜,유럽형,"70,600",KB증권,15,현금결제
11,KRA581103D45,58J297,KB증권(주) 주식워런트증권 제J297호,KBJ297삼성전자콜,KB SECURITIES ELW J297,2023/04/27,2024/04/11,2024/04/15,주식,삼성전자,"18,000,000",KB증권,0.01,콜,유럽형,"72,200",KB증권,15,현금결제
12,KRA581204D43,58J298,KB증권(주) 주식워런트증권 제J298호,KBJ298삼성전자풋,KB SECURITIES ELW J298,2023/04/27,2024/04/11,2024/04/15,주식,삼성전자,"18,000,000",KB증권,0.01,풋,유럽형,"63,700",KB증권,15,현금결제
13,KRA581122D42,58J316,KB증권(주) 주식워런트증권 제J316호,KBJ316엘지전자콜,KB SECURITIES ELW J316,2023/04/27,2024/01/11,2024/01/15,주식,LG전자,"20,000,000",KB증권,0.005,콜,유럽형,"127,000",KB증권,15,현금결제
14,KRA581223D40,58J317,KB증권(주) 주식워런트증권 제J317호,KBJ317엘지전자풋,KB SECURITIES ELW J317,2023/04/27,2024/01/11,2024/01/15,주식,LG전자,"28,600,000",KB증권,0.005,풋,유럽형,"103,000",KB증권,15,현금결제
15,KRA581248D41,58J342,KB증권(주) 주식워런트증권 제J342호,KBJ342모비스풋,KB SECURITIES ELW J342,2023/04/27,2024/02/08,2024/02/14,주식,현대모비스,"16,000,000",KB증권,0.002,풋,유럽형,"222,500",KB증권,15,현금결제
16,KRA581249D40,58J343,KB증권(주) 주식워런트증권 제J343호,KBJ343케이티풋,KB SECURITIES ELW J343,2023/04/27,2024/01/11,2024/01/15,주식,KT,"41,700,000",KB증권,0.02,풋,유럽형,"29,500",KB증권,15,현금결제
17,KRA581201D53,58J438,KB증권(주) 주식워런트증권 제J438호,KBJ438삼성전자풋,KB SECURITIES ELW J438,2023/05/26,2024/05/09,2024/05/13,주식,삼성전자,"16,400,000",KB증권,0.01,풋,유럽형,"66,500",KB증권,15,현금결제
18,KRA581204D50,58J441,KB증권(주) 주식워런트증권 제J441호,KBJ441LG에너지풋,KB SECURITIES ELW J441,2023/05/26,2024/02/08,2024/02/14,주식,LG에너지솔루션,"21,000,000",KB증권,0.001,풋,유럽형,"508,000",KB증권,15,현금결제
19,KRA581123D58,58J460,KB증권(주) 주식워런트증권 제J460호,KBJ460SK텔레콤콜,KB SECURITIES ELW J460,2023/05/26,2024/03/14,2024/03/18,주식,SK텔레콤,"27,100,000",KB증권,0.02,콜,유럽형,"53,400",KB증권,15,현금결제
20,KRA581225D55,58J462,KB증권(주) 주식워런트증권 제J462호,KBJ462SK텔레콤풋,KB SECURITIES ELW J462,2023/05/26,2024/01/11,2024/01/15,주식,SK텔레콤,"31,300,000",KB증권,0.02,풋,유럽형,"46,200",KB증권,15,현금결제
21,KRA581226D54,58J463,KB증권(주) 주식워런트증권 제J463호,KBJ463모비스풋,KB SECURITIES ELW J463,2023/05/26,2024/03/14,2024/03/18,주식,현대모비스,"23,000,000",KB증권,0.002,풋,유럽형,"214,000",KB증권,15,현금결제
22,KRA581227D53,58J464,KB증권(주) 주식워런트증권 제J464호,KBJ464케이티풋,KB SECURITIES ELW J464,2023/05/26,2024/03/14,2024/03/18,주식,KT,"50,000,000",KB증권,0.02,풋,유럽형,"28,100",KB증권,15,현금결제
23,KRA581229D51,58J466,KB증권(주) 주식워런트증권 제J466호,KBJ466아모레풋,KB SECURITIES ELW J466,2023/05/26,2024/02/08,2024/02/14,주식,아모레퍼시픽,"18,500,000",KB증권,0.005,풋,유럽형,"104,500",KB증권,15,현금결제
24,KRA581234D54,58J471,KB증권(주) 주식워런트증권 제J471호,KBJ471삼성중풋,KB SECURITIES ELW J471,2023/05/26,2024/03/14,2024/03/18,주식,삼성중공업,"20,500,000",KB증권,0.1,풋,유럽형,"5,000",KB증권,15,현금결제
25,KRA581145D52,58J482,KB증권(주) 주식워런트증권 제J482호,KBJ482LG에너지콜,KB SECURITIES ELW J482,2023/05/26,2024/01/11,2024/01/15,주식,LG에너지솔루션,"15,000,000",KB증권,0.001,콜,유럽형,"600,000",KB증권,15,현금결제
26,KRA581146D51,58J483,KB증권(주) 주식워런트증권 제J483호,KBJ483삼성SDI콜,KB SECURITIES ELW J483,2023/05/26,2024/01/11,2024/01/15,주식,삼성SDI,"13,000,000",KB증권,0.001,콜,유럽형,"760,000",KB증권,15,현금결제
27,KRA581147D50,58J484,KB증권(주) 주식워런트증권 제J484호,KBJ484카카오콜,KB SECURITIES ELW J484,2023/05/26,2024/01/11,2024/01/15,주식,카카오,"15,000,000",KB증권,0.01,콜,유럽형,"62,100",KB증권,15,현금결제
28,KRA583288D55,58J525,KB증권(주) 주식워런트증권 제J525호,KBJ525KOSPI200풋,KB SECURITIES ELW J525,2023/05/26,2024/01/11,2024/01/15,주가지수,코스피 200,"19,000,000",KB증권,100.0,풋,유럽형,295,KB증권,15,현금결제
29,KRA583289D54,58J526,KB증권(주) 주식워런트증권 제J526호,KBJ526KOSPI200풋,KB SECURITIES ELW J526,2023/05/26,2024/01/11,2024/01/15,주가지수,코스피 200,"18,000,000",KB증권,100.0,풋,유럽형,298,KB증권,15,현금결제
30,KRA583290D51,58J527,KB증권(주) 주식워런트증권 제J527호,KBJ527KOSPI200풋,KB SECURITIES ELW J527,2023/05/26,2024/01/11,2024/01/15,주가지수,코스피 200,"16,500,000",KB증권,100.0,풋,유럽형,300,KB증권,15,현금결제
31,KRA583291D50,58J528,KB증권(주) 주식워런트증권 제J528호,KBJ528KOSPI200풋,KB SECURITIES ELW J528,2023/05/26,2024/02/08,2024/02/14,주가지수,코스피 200,"17,000,000",KB증권,100.0,풋,유럽형,295,KB증권,15,현금결제
32,KRA583292D59,58J529,KB증권(주) 주식워런트증권 제J529호,KBJ529KOSPI200풋,KB SECURITIES ELW J529,2023/05/26,2024/02/08,2024/02/14,주가지수,코스피 200,"16,000,000",KB증권,100.0,풋,유럽형,298,KB증권,15,현금결제
33,KRA583293D58,58J530,KB증권(주) 주식워런트증권 제J530호,KBJ530KOSPI200풋,KB SECURITIES ELW J530,2023/05/26,2024/02/08,2024/02/14,주가지수,코스피 200,"15,000,000",KB증권,100.0,풋,유럽형,300,KB증권,15,현금결제
34,KRA583294D57,58J531,KB증권(주) 주식워런트증권 제J531호,KBJ531KOSPI200풋,KB SECURITIES ELW J531,2023/05/26,2024/03/14,2024/03/18,주가지수,코스피 200,"15,500,000",KB증권,100.0,풋,유럽형,295,KB증권,15,현금결제
35,KRA583295D56,58J532,KB증권(주) 주식워런트증권 제J532호,KBJ532KOSPI200풋,KB SECURITIES ELW J532,2023/05/26,2024/03/14,2024/03/18,주가지수,코스피 200,"14,500,000",KB증권,100.0,풋,유럽형,298,KB증권,15,현금결제
36,KRA583296D55,58J533,KB증권(주) 주식워런트증권 제J533호,KBJ533KOSPI200풋,KB SECURITIES ELW J533,2023/05/26,2024/03/14,2024/03/18,주가지수,코스피 200,"14,000,000",KB증권,100.0,풋,유럽형,300,KB증권,15,현금결제
37,KRA583297D54,58J534,KB증권(주) 주식워런트증권 제J534호,KBJ534KOSPI200풋,KB SECURITIES ELW J534,2023/05/26,2024/04/11,2024/04/15,주가지수,코스피 200,"14,500,000",KB증권,100.0,풋,유럽형,295,KB증권,15,현금결제
38,KRA583298D53,58J535,KB증권(주) 주식워런트증권 제J535호,KBJ535KOSPI200풋,KB SECURITIES ELW J535,2023/05/26,2024/04/11,2024/04/15,주가지수,코스피 200,"14,000,000",KB증권,100.0,풋,유럽형,298,KB증권,15,현금결제
39,KRA583299D52,58J536,KB증권(주) 주식워런트증권 제J536호,KBJ536KOSPI200풋,KB SECURITIES ELW J536,2023/05/26,2024/04/11,2024/04/15,주가지수,코스피 200,"13,000,000",KB증권,100.0,풋,유럽형,300,KB증권,15,현금결제
40,KRA5832A0D54,58J537,KB증권(주) 주식워런트증권 제J537호,KBJ537KOSPI200풋,KB SECURITIES ELW J537,2023/05/26,2024/05/09,2024/05/13,주가지수,코스피 200,"13,500,000",KB증권,100.0,풋,유럽형,295,KB증권,15,현금결제
41,KRA5832A1D53,58J538,KB증권(주) 주식워런트증권 제J538호,KBJ538KOSPI200풋,KB SECURITIES ELW J538,2023/05/26,2024/05/09,2024/05/13,주가지수,코스피 200,"13,000,000",KB증권,100.0,풋,유럽형,298,KB증권,15,현금결제
42,KRA5832A2D52,58J539,KB증권(주) 주식워런트증권 제J539호,KBJ539KOSPI200풋,KB SECURITIES ELW J539,2023/05/26,2024/05/09,2024/05/13,주가지수,코스피 200,"12,500,000",KB증권,100.0,풋,유럽형,300,KB증권,15,현금결제
43,KRA581101D62,58J540,KB증권(주) 주식워런트증권 제J540호,KBJ540삼성전자콜,KB SECURITIES ELW J540,2023/06/21,2024/05/09,2024/05/13,주식,삼성전자,"20,000,000",KB증권,0.01,콜,유럽형,"80,200",KB증권,15,현금결제
44,KRA581102D61,58J541,KB증권(주) 주식워런트증권 제J541호,KBJ541삼성전자콜,KB SECURITIES ELW J541,2023/06/21,2024/04/11,2024/04/15,주식,삼성전자,"20,900,000",KB증권,0.01,콜,유럽형,"78,400",KB증권,15,현금결제
45,KRA581103D60,58J542,KB증권(주) 주식워런트증권 제J542호,KBJ542삼성전자콜,KB SECURITIES ELW J542,2023/06/21,2024/03/14,2024/03/18,주식,삼성전자,"20,500,000",KB증권,0.01,콜,유럽형,"76,800",KB증권,15,현금결제
46,KRA581104D69,58J543,KB증권(주) 주식워런트증권 제J543호,KBJ543삼성전자콜,KB SECURITIES ELW J543,2023/06/21,2024/02/08,2024/02/14,주식,삼성전자,"21,800,000",KB증권,0.01,콜,유럽형,"75,200",KB증권,15,현금결제
47,KRA581105D68,58J544,KB증권(주) 주식워런트증권 제J544호,KBJ544삼성전자콜,KB SECURITIES ELW J544,2023/06/21,2024/05/09,2024/05/13,주식,삼성전자,"13,200,000",KB증권,0.01,콜,유럽형,"73,600",KB증권,15,현금결제
48,KRA581108D65,58J547,KB증권(주) 주식워런트증권 제J547호,KBJ547SK하이닉콜,KB SECURITIES ELW J547,2023/06/21,2024/03/14,2024/03/18,주식,SK하이닉스,"17,000,000",KB증권,0.005,콜,유럽형,"122,500",KB증권,15,현금결제
49,KRA581109D64,58J548,KB증권(주) 주식워런트증권 제J548호,KBJ548SK하이닉콜,KB SECURITIES ELW J548,2023/06/21,2024/01/11,2024/01/15,주식,SK하이닉스,"19,000,000",KB증권,0.005,콜,유럽형,"119,500",KB증권,15,현금결제
50,KRA581211D69,58J550,KB증권(주) 주식워런트증권 제J550호,KBJ550SK하이닉풋,KB SECURITIES ELW J550,2023/06/21,2024/03/14,2024/03/18,주식,SK하이닉스,"23,000,000",KB증권,0.005,풋,유럽형,"99,300",KB증권,15,현금결제
51,KRA581115D66,58J554,KB증권(주) 주식워런트증권 제J554호,KBJ554카카오콜,KB SECURITIES ELW J554,2023/06/21,2024/04/11,2024/04/15,주식,카카오,"18,000,000",KB증권,0.01,콜,유럽형,"63,500",KB증권,15,현금결제
52,KRA581216D64,58J555,KB증권(주) 주식워런트증권 제J555호,KBJ555LG화학풋,KB SECURITIES ELW J555,2023/06/21,2024/01/11,2024/01/15,주식,LG화학,"18,000,000",KB증권,0.001,풋,유럽형,"649,000",KB증권,15,현금결제
53,KRA581118D63,58J557,KB증권(주) 주식워런트증권 제J557호,KBJ557기아콜,KB SECURITIES ELW J557,2023/06/21,2024/04/11,2024/04/15,주식,기아,"13,200,000",KB증권,0.01,콜,유럽형,"94,600",KB증권,15,현금결제
54,KRA581119D62,58J558,KB증권(주) 주식워런트증권 제J558호,KBJ558현대차콜,KB SECURITIES ELW J558,2023/06/21,2024/02/08,2024/02/14,주식,현대차,"15,900,000",KB증권,0.005,콜,유럽형,"221,500",KB증권,15,현금결제
55,KRA581235D61,58J574,KB증권(주) 주식워런트증권 제J574호,KBJ574LG생건풋,KB SECURITIES ELW J574,2023/06/21,2024/01/11,2024/01/15,주식,LG생활건강,"24,000,000",KB증권,0.001,풋,유럽형,"480,000",KB증권,15,현금결제
56,KRA581238D68,58J577,KB증권(주) 주식워런트증권 제J577호,KBJ577SK텔레콤풋,KB SECURITIES ELW J577,2023/06/21,2024/03/14,2024/03/18,주식,SK텔레콤,"30,000,000",KB증권,0.02,풋,유럽형,"44,200",KB증권,15,현금결제
57,KRA581139D68,58J578,KB증권(주) 주식워런트증권 제J578호,KBJ578모비스콜,KB SECURITIES ELW J578,2023/06/21,2024/05/09,2024/05/13,주식,현대모비스,"22,800,000",KB증권,0.002,콜,유럽형,"247,500",KB증권,15,현금결제
58,KRA581140D65,58J579,KB증권(주) 주식워런트증권 제J579호,KBJ579케이티콜,KB SECURITIES ELW J579,2023/06/21,2024/05/09,2024/05/13,주식,KT,"20,000,000",KB증권,0.02,콜,유럽형,"32,500",KB증권,15,현금결제
59,KRA581242D62,58J581,KB증권(주) 주식워런트증권 제J581호,KBJ581아모레풋,KB SECURITIES ELW J581,2023/06/21,2024/02/08,2024/02/14,주식,아모레퍼시픽,"22,000,000",KB증권,0.005,풋,유럽형,"94,100",KB증권,15,현금결제
60,KRA581244D60,58J583,KB증권(주) 주식워런트증권 제J583호,KBJ583현대상선풋,KB SECURITIES ELW J583,2023/06/21,2024/02/08,2024/02/14,주식,HMM,"20,000,000",KB증권,0.05,풋,유럽형,"15,900",KB증권,15,현금결제
61,KRA581247D67,58J586,KB증권(주) 주식워런트증권 제J586호,KBJ586삼성엔지풋,KB SECURITIES ELW J586,2023/06/21,2024/03/14,2024/03/18,주식,삼성엔지니어링,"20,000,000",KB증권,0.02,풋,유럽형,"26,200",KB증권,15,현금결제
62,KRA581153D69,58J592,KB증권(주) 주식워런트증권 제J592호,KBJ592삼성물산콜,KB SECURITIES ELW J592,2023/06/21,2024/05/09,2024/05/13,주식,삼성물산,"24,000,000",KB증권,0.005,콜,유럽형,"121,500",KB증권,15,현금결제
63,KRA581256D65,58J595,KB증권(주) 주식워런트증권 제J595호,KBJ595삼성중풋,KB SECURITIES ELW J595,2023/06/21,2024/02/08,2024/02/14,주식,삼성중공업,"17,900,000",KB증권,0.1,풋,유럽형,"5,900",KB증권,15,현금결제
64,KRA581265D64,58J604,KB증권(주) 주식워런트증권 제J604호,KBJ604삼성전자풋,KB SECURITIES ELW J604,2023/06/21,2024/02/08,2024/02/14,주식,삼성전자,"26,000,000",KB증권,0.01,풋,유럽형,"69,400",KB증권,15,현금결제
65,KRA581167D63,58J606,KB증권(주) 주식워런트증권 제J606호,KBJ606삼성바이콜,KB SECURITIES ELW J606,2023/06/21,2024/04/11,2024/04/15,주식,삼성바이오로직스,"16,000,000",KB증권,0.001,콜,유럽형,"872,000",KB증권,15,현금결제
66,KRA5832AKD62,58J658,KB증권(주) 주식워런트증권 제J658호,KBJ658KOSPI200풋,KB SECURITIES ELW J658,2023/06/21,2024/01/11,2024/01/15,주가지수,코스피 200,"19,000,000",KB증권,100.0,풋,유럽형,305,KB증권,15,현금결제
67,KRA5832ALD61,58J659,KB증권(주) 주식워런트증권 제J659호,KBJ659KOSPI200풋,KB SECURITIES ELW J659,2023/06/21,2024/01/11,2024/01/15,주가지수,코스피 200,"18,500,000",KB증권,100.0,풋,유럽형,308,KB증권,15,현금결제
68,KRA5832AMD60,58J660,KB증권(주) 주식워런트증권 제J660호,KBJ660KOSPI200풋,KB SECURITIES ELW J660,2023/06/21,2024/01/11,2024/01/15,주가지수,코스피 200,"17,000,000",KB증권,100.0,풋,유럽형,310,KB증권,15,현금결제
69,KRA5832AND69,58J661,KB증권(주) 주식워런트증권 제J661호,KBJ661KOSPI200풋,KB SECURITIES ELW J661,2023/06/21,2024/02/08,2024/02/14,주가지수,코스피 200,"17,500,000",KB증권,100.0,풋,유럽형,305,KB증권,15,현금결제
70,KRA5832APD67,58J662,KB증권(주) 주식워런트증권 제J662호,KBJ662KOSPI200풋,KB SECURITIES ELW J662,2023/06/21,2024/02/08,2024/02/14,주가지수,코스피 200,"16,500,000",KB증권,100.0,풋,유럽형,308,KB증권,15,현금결제
71,KRA5832AQD66,58J663,KB증권(주) 주식워런트증권 제J663호,KBJ663KOSPI200풋,KB SECURITIES ELW J663,2023/06/21,2024/02/08,2024/02/14,주가지수,코스피 200,"16,000,000",KB증권,100.0,풋,유럽형,310,KB증권,15,현금결제
72,KRA5832ARD65,58J664,KB증권(주) 주식워런트증권 제J664호,KBJ664KOSPI200풋,KB SECURITIES ELW J664,2023/06/21,2024/03/14,2024/03/18,주가지수,코스피 200,"15,500,000",KB증권,100.0,풋,유럽형,305,KB증권,15,현금결제
73,KRA5832ASD64,58J665,KB증권(주) 주식워런트증권 제J665호,KBJ665KOSPI200풋,KB SECURITIES ELW J665,2023/06/21,2024/03/14,2024/03/18,주가지수,코스피 200,"14,500,000",KB증권,100.0,풋,유럽형,308,KB증권,15,현금결제
74,KRA5832ATD63,58J666,KB증권(주) 주식워런트증권 제J666호,KBJ666KOSPI200풋,KB SECURITIES ELW J666,2023/06/21,2024/03/14,2024/03/18,주가지수,코스피 200,"14,000,000",KB증권,100.0,풋,유럽형,310,KB증권,15,현금결제
75,KRA5832AVD69,58J667,KB증권(주) 주식워런트증권 제J667호,KBJ667KOSPI200풋,KB SECURITIES ELW J667,2023/06/21,2024/04/11,2024/04/15,주가지수,코스피 200,"14,000,000",KB증권,100.0,풋,유럽형,305,KB증권,15,현금결제
76,KRA5832AWD68,58J668,KB증권(주) 주식워런트증권 제J668호,KBJ668KOSPI200풋,KB SECURITIES ELW J668,2023/06/21,2024/04/11,2024/04/15,주가지수,코스피 200,"13,500,000",KB증권,100.0,풋,유럽형,308,KB증권,15,현금결제
77,KRA5832AXD67,58J669,KB증권(주) 주식워런트증권 제J669호,KBJ669KOSPI200풋,KB SECURITIES ELW J669,2023/06/21,2024/04/11,2024/04/15,주가지수,코스피 200,"13,000,000",KB증권,100.0,풋,유럽형,310,KB증권,15,현금결제
78,KRA5832AYD66,58J670,KB증권(주) 주식워런트증권 제J670호,KBJ670KOSPI200풋,KB SECURITIES ELW J670,2023/06/21,2024/05/09,2024/05/13,주가지수,코스피 200,"13,000,000",KB증권,100.0,풋,유럽형,305,KB증권,15,현금결제
79,KRA5832AZD65,58J671,KB증권(주) 주식워런트증권 제J671호,KBJ671KOSPI200풋,KB SECURITIES ELW J671,2023/06/21,2024/05/09,2024/05/13,주가지수,코스피 200,"12,500,000",KB증권,100.0,풋,유럽형,308,KB증권,15,현금결제
80,KRA5832B0D60,58J672,KB증권(주) 주식워런트증권 제J672호,KBJ672KOSPI200풋,KB SECURITIES ELW J672,2023/06/21,2024/05/09,2024/05/13,주가지수,코스피 200,"12,500,000",KB증권,100.0,풋,유럽형,310,KB증권,15,현금결제
81,KRA581201D79,58J676,KB증권(주) 주식워런트증권 제J676호,KBJ676삼성전자풋,KB SECURITIES ELW J676,2023/07/19,2024/05/09,2024/05/13,주식,삼성전자,"13,900,000",KB증권,0.01,풋,유럽형,"70,800",KB증권,15,현금결제
82,KRA581202D78,58J677,KB증권(주) 주식워런트증권 제J677호,KBJ677삼성전자풋,KB SECURITIES ELW J677,2023/07/19,2024/01/11,2024/01/15,주식,삼성전자,"14,100,000",KB증권,0.01,풋,유럽형,"73,700",KB증권,15,현금결제
83,KRA581205D75,58J680,KB증권(주) 주식워런트증권 제J680호,KBJ680SK하이닉풋,KB SECURITIES ELW J680,2023/07/19,2024/03/14,2024/03/18,주식,SK하이닉스,"12,700,000",KB증권,0.005,풋,유럽형,"110,500",KB증권,15,현금결제
84,KRA581108D73,58J683,KB증권(주) 주식워런트증권 제J683호,KBJ683LG에너지콜,KB SECURITIES ELW J683,2023/07/19,2024/03/14,2024/03/18,주식,LG에너지솔루션,"12,500,000",KB증권,0.001,콜,유럽형,"625,000",KB증권,15,현금결제
85,KRA581109D72,58J684,KB증권(주) 주식워런트증권 제J684호,KBJ684네이버콜,KB SECURITIES ELW J684,2023/07/19,2024/06/13,2024/06/17,주식,NAVER,"13,500,000",KB증권,0.002,콜,유럽형,"204,500",KB증권,15,현금결제
86,KRA581110D79,58J685,KB증권(주) 주식워런트증권 제J685호,KBJ685네이버콜,KB SECURITIES ELW J685,2023/07/19,2024/04/11,2024/04/15,주식,NAVER,"13,500,000",KB증권,0.002,콜,유럽형,"196,500",KB증권,15,현금결제
87,KRA581211D77,58J686,KB증권(주) 주식워런트증권 제J686호,KBJ686삼성SDI풋,KB SECURITIES ELW J686,2023/07/19,2024/03/14,2024/03/18,주식,삼성SDI,"14,800,000",KB증권,0.001,풋,유럽형,"644,000",KB증권,15,현금결제
88,KRA581113D76,58J688,KB증권(주) 주식워런트증권 제J688호,KBJ688카카오콜,KB SECURITIES ELW J688,2023/07/19,2024/05/09,2024/05/13,주식,카카오,"10,000,000",KB증권,0.01,콜,유럽형,"56,000",KB증권,15,현금결제
89,KRA581114D75,58J689,KB증권(주) 주식워런트증권 제J689호,KBJ689카카오콜,KB SECURITIES ELW J689,2023/07/19,2024/02/08,2024/02/14,주식,카카오,"10,500,000",KB증권,0.01,콜,유럽형,"52,000",KB증권,15,현금결제
90,KRA581217D71,58J692,KB증권(주) 주식워런트증권 제J692호,KBJ692기아풋,KB SECURITIES ELW J692,2023/07/19,2024/04/11,2024/04/15,주식,기아,"13,400,000",KB증권,0.01,풋,유럽형,"76,700",KB증권,15,현금결제
91,KRA581118D71,58J693,KB증권(주) 주식워런트증권 제J693호,KBJ693현대차콜,KB SECURITIES ELW J693,2023/07/19,2024/01/11,2024/01/15,주식,현대차,"10,900,000",KB증권,0.005,콜,유럽형,"212,000",KB증권,15,현금결제
92,KRA581219D79,58J694,KB증권(주) 주식워런트증권 제J694호,KBJ694현대차풋,KB SECURITIES ELW J694,2023/07/19,2024/03/14,2024/03/18,주식,현대차,"11,700,000",KB증권,0.005,풋,유럽형,"188,000",KB증권,15,현금결제
93,KRA581120D77,58J695,KB증권(주) 주식워런트증권 제J695호,KBJ695엘지전자콜,KB SECURITIES ELW J695,2023/07/19,2024/02/08,2024/02/14,주식,LG전자,"13,500,000",KB증권,0.005,콜,유럽형,"133,500",KB증권,15,현금결제
94,KRA581221D75,58J696,KB증권(주) 주식워런트증권 제J696호,KBJ696엘지전자풋,KB SECURITIES ELW J696,2023/07/19,2024/02/08,2024/02/14,주식,LG전자,"11,800,000",KB증권,0.005,풋,유럽형,"123,500",KB증권,15,현금결제
95,KRA581124D73,58J699,KB증권(주) 주식워런트증권 제J699호,KBJ699셀트리온콜,KB SECURITIES ELW J699,2023/07/19,2024/02/08,2024/02/14,주식,셀트리온,"10,000,000",KB증권,0.005,콜,유럽형,"173,500",KB증권,15,현금결제
96,KRA581226D70,58J701,KB증권(주) 주식워런트증권 제J701호,KBJ701신한지주풋,KB SECURITIES ELW J701,2023/07/19,2024/02/08,2024/02/14,주식,신한지주,"18,600,000",KB증권,0.02,풋,유럽형,"32,900",KB증권,15,현금결제
97,KRA581127D70,58J702,KB증권(주) 주식워런트증권 제J702호,KBJ702하나금융콜,KB SECURITIES ELW J702,2023/07/19,2024/03/14,2024/03/18,주식,하나금융지주,"10,000,000",KB증권,0.02,콜,유럽형,"43,300",KB증권,15,현금결제
98,KRA581134D71,58J709,KB증권(주) 주식워런트증권 제J709호,KBJ709삼성전기콜,KB SECURITIES ELW J709,2023/07/19,2024/04/11,2024/04/15,주식,삼성전기,"11,000,000",KB증권,0.005,콜,유럽형,"165,500",KB증권,15,현금결제
99,KRA581235D79,58J710,KB증권(주) 주식워런트증권 제J710호,KBJ710삼성전기풋,KB SECURITIES ELW J710,2023/07/19,2024/03/14,2024/03/18,주식,삼성전기,"15,900,000",KB증권,0.005,풋,유럽형,"134,500",KB증권,15,현금결제
100,KRA581136D79,58J711,KB증권(주) 주식워런트증권 제J711호,KBJ711카카뱅크콜,KB SECURITIES ELW J711,2023/07/19,2024/04/11,2024/04/15,주식,카카오뱅크,"10,500,000",KB증권,0.02,콜,유럽형,"27,000",KB증권,15,현금결제
101,KRA581137D78,58J712,KB증권(주) 주식워런트증권 제J712호,KBJ712카카페이콜,KB SECURITIES ELW J712,2023/07/19,2024/01/11,2024/01/15,주식,카카오페이,"8,500,000",KB증권,0.01,콜,유럽형,"52,700",KB증권,15,현금결제
102,KRA581138D77,58J713,KB증권(주) 주식워런트증권 제J713호,KBJ713LG생건콜,KB SECURITIES ELW J713,2023/07/19,2024/02/08,2024/02/14,주식,LG생활건강,"8,900,000",KB증권,0.001,콜,유럽형,"484,500",KB증권,15,현금결제
