short_code,full_code,codeName,marketCode,marketName,marketEngName,ord1,ord2
140610,KR7140610007,엔솔바이오사이언스,KNX,코넥스,KONEX,,16
333620,KR7333620003,엔시스,KSQ,코스닥,KOSDAQ,,16
101400,KR7101400000,엔시트론,KSQ,코스닥,KOSDAQ,,16
036570,KR7036570000,엔씨소프트,STK,유가증권,KOSPI,,16
238170,KR7238170005,엔에스엠,KNX,코넥스,KONEX,,16
224760,KR7224760009,엔에스컴퍼니,KNX,코넥스,KONEX,,16
380440,KR7380440008,엔에이치스팩19호,STK,유가증권,KOSPI,,16
391060,KR7391060001,엔에이치스팩20호,KSQ,코스닥,KOSDAQ,,16
422040,KR7422040006,엔에이치스팩23호,KSQ,코스닥,KOSDAQ,,16
437780,KR7437780000,엔에이치스팩24호,KSQ,코스닥,KOSDAQ,,16
438580,KR7438580003,엔에이치스팩25호,KSQ,코스닥,KOSDAQ,,16
439410,KR7439410002,엔에이치스팩26호,KSQ,코스닥,KOSDAQ,,16
440820,KR7440820009,엔에이치스팩27호,KSQ,코스닥,KOSDAQ,,16
450410,KR7450410006,엔에이치스팩28호,KSQ,코스닥,KOSDAQ,,16
451700,KR7451700009,엔에이치스팩29호,KSQ,코스닥,KOSDAQ,,16
466910,KR7466910007,엔에이치스팩30호,KSQ,코스닥,KOSDAQ,,16
265740,KR7265740001,엔에프씨,KSQ,코스닥,KOSDAQ,,16
354200,KR7354200008,엔젠바이오,KSQ,코스닥,KOSDAQ,,16
419080,KR7419080007,엔젯,KSQ,코스닥,KOSDAQ,,16
093510,KR7093510006,엔지브이아이,KNX,코넥스,KONEX,,16
208860,KR7208860007,엔지스테크널러지,KSQ,코스닥,KOSDAQ,,16
183490,KR7183490002,엔지켐생명과학,KSQ,코스닥,KOSDAQ,,16
085310,KR7085310001,엔케이,STK,유가증권,KOSPI,,16
182400,KR7182400002,엔케이맥스,KSQ,코스닥,KOSDAQ,,16
348370,KR7348370008,엔켐,KSQ,코스닥,KOSDAQ,,16
058450,KR7058450008,엔터파트너즈,KSQ,코스닥,KOSDAQ,,16
069410,KR7069410009,엔텔스,KSQ,코스닥,KOSDAQ,,16
227950,KR7227950003,엔투텍,KSQ,코스닥,KOSDAQ,,16
291230,KR7291230001,엔피,KSQ,코스닥,KOSDAQ,,16
198080,KR7198080004,엔피디,KSQ,코스닥,KOSDAQ,,16
048830,KR7048830004,엔피케이,KSQ,코스닥,KOSDAQ,,16
096870,KR7096870001,엘디티,KSQ,코스닥,KOSDAQ,,16
276240,KR7276240009,엘리비젼,KNX,코넥스,KONEX,,16
900140,KYG5307W1015,엘브이엠씨홀딩스,STK,유가증권,KOSPI,,16
290650,KR7290650001,엘앤씨바이오,KSQ,코스닥,KOSDAQ,,16
066970,KR7066970005,엘앤에프,KSQ,코스닥,KOSDAQ GLOBAL,,16
156100,KR7156100000,엘앤케이바이오,KSQ,코스닥,KOSDAQ,,16
311060,KR7311060008,엘에이티,KNX,코넥스,KONEX,,16
073110,KR7073110009,엘엠에스,KSQ,코스닥,KOSDAQ,,16
083310,KR7083310003,엘오티베큠,KSQ,코스닥,KOSDAQ,,16
037950,KR7037950003,엘컴텍,KSQ,코스닥,KOSDAQ,,16
170920,KR7170920003,엘티씨,KSQ,코스닥,KOSDAQ,,16
058630,KR7058630005,엠게임,KSQ,코스닥,KOSDAQ,,16
058970,KR7058970005,엠로,KSQ,코스닥,KOSDAQ,,16
019590,KR7019590009,엠벤처투자,KSQ,코스닥,KOSDAQ,,16
169330,KR7169330008,엠브레인,KSQ,코스닥,KOSDAQ,,16
097520,KR7097520001,엠씨넥스,STK,유가증권,KOSPI,,16
373170,KR7373170000,엠아이큐브솔루션,KSQ,코스닥,KOSDAQ,,16
179290,KR7179290002,엠아이텍,KSQ,코스닥,KOSDAQ,,16
009780,KR7009780008,엠에스씨,KSQ,코스닥,KOSDAQ,,16
123040,KR7123040008,엠에스오토텍,KSQ,코스닥,KOSDAQ,,16
323230,KR7323230003,엠에프엠코리아,KSQ,코스닥,KOSDAQ,,16
032790,KR7032790008,엠젠솔루션,KSQ,코스닥,KOSDAQ,,16
033160,KR7033160003,엠케이전자,KSQ,코스닥,KOSDAQ,,16
347890,KR7347890006,엠투아이,KSQ,코스닥,KOSDAQ,,16
033310,KR7033310004,엠투엔,KSQ,코스닥,KOSDAQ,,16
259630,KR7259630002,엠플러스,KSQ,코스닥,KOSDAQ,,16
115960,KR7115960007,연우,KSQ,코스닥,KOSDAQ,,16
